pkt_len_max,pkt_len_std,pkt_len_p50,pkt_len_p75,payload_median,iat_std,iat_p75_minus_p50,iat_p95_minus_p50,iat_cov_std_mean,iat_median,granularity,label
16114,3604.62839,1514.0,7354.0,1460.0,0.0063,0.00242,0.01852,1.86834,0.00048,150,Netflix
64294,15242.60045,60.5,13194.0,0.5,3.86608,0.00079,0.00928,9.29714,0.0002,150,Netflix
10274,2616.57034,1514.0,2974.0,1460.0,0.00972,0.00241,0.0258,1.74033,0.00046,150,Netflix
13194,3447.11832,1514.0,4434.0,1460.0,0.00995,0.00245,0.02722,1.74394,0.00048,150,Netflix
16114,3699.22274,1514.0,5894.0,1460.0,0.0093,0.00309,0.02709,1.74435,0.00047,150,Netflix
36554,7564.14049,1514.0,4434.0,1460.0,0.00706,0.00274,0.02113,1.80669,0.0003,150,Netflix
21954,3280.32674,1514.0,4434.0,1460.0,0.00273,0.00258,0.00864,1.46883,0.00023,150,Netflix
27794,5217.0506,798.0,5894.0,730.0,0.00554,0.00269,0.01577,1.72255,0.00021,150,Netflix
35094,4961.21223,1514.0,7354.0,1460.0,0.00381,0.00276,0.01036,1.6837,0.00022,150,Netflix
33634,6223.06435,1514.0,8814.0,1460.0,0.00401,0.00166,0.01192,2.10715,0.00025,150,Netflix
64294,16412.87352,847.5,5894.0,793.5,2.65476,0.00113,0.01787,10.44689,0.00023,150,Netflix
64294,15222.01225,1514.0,21954.0,1460.0,0.00331,0.00194,0.00613,1.9104,0.00033,150,Netflix
64294,14434.63757,1514.0,19034.0,1460.0,0.20612,0.00087,0.00732,8.18636,0.00021,150,Netflix
64294,18541.29448,1093.0,29254.0,1039.0,0.0026,0.00209,0.0051,1.74986,0.00022,150,Netflix
64294,18092.5184,1151.5,11734.0,1097.5,0.50219,0.00192,0.01692,6.35656,0.00028,150,Netflix
64294,14941.18332,1150.5,11369.0,1096.5,1.2989,0.00263,0.01669,10.94474,0.00033,150,Netflix
56994,13024.55405,1145.5,10274.0,1091.5,0.43129,0.00167,0.01903,6.87496,0.00026,150,Netflix
45314,8545.36247,850.0,1514.0,796.0,0.74225,0.001,0.00792,11.71514,0.00018,150,Netflix
55534,9214.24239,802.0,2974.0,730.0,0.00661,0.00158,0.02287,2.44782,0.00021,150,Netflix
26334,3475.52761,1514.0,2974.0,1460.0,0.00713,0.00276,0.02076,1.92682,0.00027,150,Netflix
29254,7222.69081,1514.0,5894.0,1460.0,0.00793,0.00089,0.02218,2.16638,0.00025,150,Netflix
20494,5277.36989,1514.0,7354.0,1460.0,0.0043,0.00366,0.01226,1.49911,0.00033,150,Netflix
21954,4789.07729,1514.0,7354.0,1460.0,0.00285,0.00259,0.00811,1.5608,0.00019,150,Netflix
61374,10605.40664,982.5,11369.0,928.5,0.04716,0.00235,0.01498,6.84613,0.00031,150,Netflix
46774,9671.66506,1514.0,11734.0,1460.0,0.00579,0.0013,0.01642,2.15463,0.00024,150,Netflix
24874,5109.62443,1514.0,6989.0,1460.0,0.00362,0.00135,0.00974,2.04918,0.00018,150,Netflix
49694,8129.83373,983.0,5894.0,929.0,0.33258,0.0025,0.02507,8.19344,0.00031,150,Netflix
64294,14462.35884,884.5,20494.0,830.5,1.052,0.00124,0.01728,8.4914,0.00029,150,Netflix
48234,4613.10088,1514.0,1514.0,1460.0,0.00233,0.0008,0.00287,2.8085,0.0001,150,Netflix
32174,5607.73804,1514.0,5894.0,1460.0,0.00168,0.00199,0.00434,1.36997,0.00019,150,Netflix
48234,9251.12163,1332.5,7354.0,1278.5,0.21131,0.00105,0.00849,10.92404,0.00037,150,Netflix
21954,4563.25663,802.0,2974.0,730.0,0.0038,0.0008,0.00844,2.39499,0.00024,150,Netflix
23414,4370.21737,1331.0,5894.0,1277.0,0.01381,0.00353,0.02025,2.85184,0.00032,150,Netflix
24874,5526.50045,1149.5,5894.0,1095.5,0.30122,0.00268,0.02308,9.58371,0.00029,150,Netflix
20494,4025.72107,1514.0,4434.0,1460.0,0.00757,0.00309,0.02222,1.73617,0.00022,150,Netflix
16114,3665.11255,1514.0,7354.0,1460.0,0.00582,0.00208,0.01729,1.8532,0.00032,150,Netflix
14654,3139.49229,1514.0,4434.0,1460.0,0.00339,0.00205,0.00867,1.73085,0.00026,150,Netflix
33634,5768.18061,1514.0,6989.0,1460.0,0.00388,0.00176,0.01165,1.97675,0.0003,150,Netflix
14654,3057.46519,1514.0,2974.0,1460.0,0.00551,0.00236,0.01802,2.0347,0.0003,150,Netflix
30714,6469.17328,1514.0,8814.0,1460.0,0.00682,0.00265,0.02342,1.85174,0.00039,150,Netflix
24874,4681.46532,1514.0,7354.0,1460.0,0.00784,0.00303,0.02427,1.84442,0.00034,150,Netflix
38014,8924.22115,804.0,8814.0,750.0,0.22178,0.00247,0.02228,9.88661,0.00034,150,Netflix
21954,3431.43887,1514.0,2974.0,1460.0,0.00511,0.00173,0.01646,2.06013,0.00029,150,Netflix
35094,7392.755,1143.0,5894.0,1089.0,0.99359,0.0016,0.02756,9.27203,0.00026,150,Netflix
24874,4642.43655,1514.0,4434.0,1460.0,0.00534,0.00342,0.01527,1.60292,0.00039,150,Netflix
27794,4160.58614,794.0,5894.0,730.0,0.00563,0.00244,0.01819,1.8287,0.00035,150,Netflix
26334,4301.38455,1514.0,7354.0,1460.0,0.00217,0.00098,0.00682,1.7135,0.00018,150,Netflix
33634,5973.61081,1514.0,7354.0,1460.0,0.00179,0.00071,0.00497,1.70014,0.00028,150,Netflix
30714,5066.76798,1514.0,7354.0,1460.0,0.0017,0.00096,0.0034,1.7093,0.00017,150,Netflix
39474,6259.16005,1514.0,7354.0,1460.0,0.00276,0.00139,0.00578,1.85592,0.00026,150,Netflix
27794,5957.91319,1514.0,7354.0,1460.0,0.00141,0.00215,0.0037,1.22331,0.00017,150,Netflix
