fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,actual_packets_in_flow,agg_mode,agg_value,label
24,32781.0,22322.32121,32174.0,51519.0,64294.0,32120.0,0.01399,0.03706,0.00211,2.65008,26.0,96.57692,210.49725,54.0,54.0,1149.0,0.0,0.0128,0.03081,0.00251,2.40614,0.99682,0.48,0.0,1.0,0.0,0.0,0.08,0.0,0.5,2,0.15274,50,packet,50,Netflix
26,25497.96154,21999.82723,25604.0,42394.0,64294.0,25550.0,0.01778,0.02625,0.00322,1.47668,24.0,138.83333,282.12699,54.0,54.0,1144.0,0.0,0.01931,0.02634,0.00603,1.36382,0.995,0.52,0.0,1.0,0.0,0.0,0.14,0.0,0.44,1,0.0,50,packet,50,Netflix
24,191.95833,471.26925,54.0,54.0,2196.0,0.0,0.02491,0.0413,0.00332,1.65783,26.0,18008.42308,16396.50791,13194.0,30349.0,58454.0,13140.0,0.02258,0.04636,0.00296,2.05322,0.00974,0.48,0.04,0.98,0.0,0.0,0.1,0.0,0.42,2,0.14999,50,packet,50,Netflix
24,99.625,218.80981,54.0,54.0,1149.0,0.0,0.00427,0.00364,0.00358,0.85289,26.0,23139.65385,16518.36081,22684.0,29254.0,56994.0,22630.0,0.00385,0.00502,0.00262,1.30481,0.00396,0.48,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
26,17798.61538,15586.91592,11004.0,23414.0,64294.0,10950.0,0.00198,0.0024,0.00134,1.21459,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00208,0.00252,0.00133,1.20767,0.99721,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
24,99.70833,219.20947,54.0,54.0,1151.0,0.0,0.00337,0.00403,0.00196,1.19801,26.0,16654.53846,11770.41098,16114.0,21589.0,40934.0,16060.0,0.00266,0.00496,0.00147,1.86294,0.0055,0.48,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
25,97.6,213.59551,54.0,54.0,1144.0,0.0,0.0039,0.00473,0.00186,1.21324,25.0,22795.6,15944.0643,23414.0,26334.0,64294.0,23360.0,0.00385,0.00568,0.00154,1.47526,0.00426,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
25,21595.48,13149.89693,23414.0,26334.0,52614.0,23360.0,0.00295,0.00423,0.00188,1.43232,25.0,97.88,214.96722,54.0,54.0,1151.0,0.0,0.00295,0.00366,0.00186,1.2382,0.99549,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
26,23077.07692,14774.75882,23414.0,25969.0,59914.0,23360.0,0.0024,0.00175,0.00208,0.72882,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00244,0.00173,0.00203,0.70829,0.99784,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
26,223.92308,393.41131,54.0,66.0,1148.0,0.0,0.02641,0.05378,0.00307,2.03632,24.0,19791.54167,17057.37212,18304.0,36554.0,52614.0,18250.0,0.02858,0.06881,0.00202,2.40729,0.01211,0.52,0.0,1.0,0.0,0.0,0.18,0.0,0.48,3,0.19363,50,packet,50,Netflix
26,24159.34615,19240.00828,24144.0,28159.0,58454.0,24090.0,0.00348,0.00547,0.00229,1.57178,24.0,99.79167,219.60912,54.0,54.0,1153.0,0.0,0.00379,0.00421,0.00258,1.11254,0.9962,0.52,0.0,1.0,0.0,0.0,0.08,0.0,0.44,1,0.0,50,packet,50,Netflix
25,25866.8,17149.72455,27794.0,30714.0,64294.0,27740.0,0.00309,0.00561,0.00153,1.81686,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00296,0.0056,0.00136,1.89397,0.99792,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
23,54.0,0.0,54.0,54.0,54.0,0.0,0.002,0.00228,0.00125,1.13666,27.0,19935.40741,18925.07056,17574.0,24874.0,64294.0,17520.0,0.00167,0.00213,0.00113,1.27818,0.0023,0.46,0.0,1.0,0.0,0.0,0.04,0.0,0.44,1,0.0,50,packet,50,Netflix
25,100.48,213.06846,54.0,66.0,1144.0,0.0,0.34124,0.85806,0.00967,2.51452,25.0,15302.12,16003.64371,8814.0,27794.0,52614.0,8760.0,0.34117,0.85868,0.00398,2.51687,0.00652,0.5,0.0,1.0,0.02,0.02,0.06,0.0,0.54,7,1.31729,50,packet,50,Netflix
25,71.56,1.29861,71.0,71.0,75.0,29.0,0.89811,1.50437,0.23861,1.67504,25.0,124.52,279.55266,66.0,69.0,1494.0,24.0,0.89818,1.50095,0.24064,1.67111,0.36495,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.04063,50,packet,50,Netflix
18,3352.5,3323.00758,2575.0,5542.25,11306.0,2521.0,4.71436,10.78492,0.05264,2.28768,32.0,370.90625,529.86126,58.0,598.0,1518.0,0.0,2.34925,8.30263,0.0,3.53415,0.83564,0.36,0.0,1.0,0.0,0.0,0.34,0.0,0.54,7,13.30444,50,packet,50,Netflix
26,177.76923,342.74372,54.0,54.0,1149.0,0.0,0.08341,0.25587,0.00274,3.06757,24.0,14715.91667,10141.24761,16114.0,19399.0,38014.0,16060.0,0.09007,0.28449,0.00139,3.15847,0.01292,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.44,3,0.94843,50,packet,50,Netflix
23,196.95652,474.3207,54.0,54.0,2164.0,0.0,0.15078,0.46914,0.00291,3.11151,27.0,14982.40741,17271.46431,5894.0,24144.0,55534.0,5840.0,0.12696,0.43498,0.00253,3.42624,0.01107,0.46,0.04,0.98,0.0,0.0,0.12,0.0,0.38,3,1.50401,50,packet,50,Netflix
25,12726.8,4480.46383,11734.0,14654.0,23414.0,11680.0,0.00131,0.00051,0.00123,0.39269,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00131,0.00053,0.00122,0.40498,0.99577,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
25,97.96,215.35914,54.0,54.0,1153.0,0.0,0.00537,0.00637,0.00202,1.18707,25.0,21973.68,15042.95873,24874.0,27794.0,58454.0,24820.0,0.00458,0.00577,0.0016,1.26107,0.00444,0.5,0.0,1.0,0.0,0.0,0.04,0.0,0.46,1,0.0,50,packet,50,Netflix
25,24056.96,21271.96559,19034.0,33634.0,64294.0,18980.0,0.00477,0.00665,0.00189,1.3941,25.0,141.68,297.33788,54.0,54.0,1152.0,0.0,0.00477,0.00519,0.0027,1.0882,0.99415,0.5,0.0,1.0,0.0,0.0,0.12,0.0,0.44,1,0.0,50,packet,50,Netflix
26,24353.73077,17816.9302,24874.0,31444.0,64294.0,24820.0,0.00379,0.00444,0.00293,1.16995,24.0,99.70833,219.20947,54.0,54.0,1151.0,0.0,0.00401,0.0035,0.00321,0.8732,0.99623,0.52,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
24,54.0,0.0,54.0,54.0,54.0,0.0,0.00226,0.00221,0.00182,0.97936,26.0,20213.23077,14982.55753,24144.0,26334.0,64294.0,24090.0,0.00245,0.00254,0.0015,1.0361,0.00246,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
28,22031.03571,17933.84898,16844.0,35459.0,64294.0,16790.0,0.00739,0.012,0.00198,1.62337,22.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00942,0.01403,0.00282,1.49008,0.99808,0.56,0.0,1.0,0.0,0.0,0.04,0.0,0.38,1,0.0,50,packet,50,Netflix
23,292.21739,542.36952,54.0,60.0,2164.0,0.0,0.02822,0.03012,0.0155,1.06719,27.0,18857.51852,21188.45802,10274.0,34364.0,58454.0,10220.0,0.02395,0.03098,0.00382,1.29342,0.01303,0.46,0.04,0.98,0.0,0.0,0.14,0.0,0.38,1,0.0,50,packet,50,Netflix
23,290.91304,537.72491,54.0,60.0,2132.0,0.0,0.02911,0.03037,0.0223,1.04329,27.0,20912.33333,21243.72674,13194.0,42394.0,58454.0,13140.0,0.02412,0.03076,0.00386,1.27522,0.01171,0.46,0.04,0.98,0.0,0.0,0.16,0.0,0.36,1,0.0,50,packet,50,Netflix
22,103.95455,228.92049,54.0,54.0,1153.0,0.0,0.01597,0.02349,0.00375,1.4708,28.0,29529.71429,22418.92761,38014.0,48964.0,64294.0,37960.0,0.01473,0.02128,0.00348,1.44449,0.00276,0.44,0.0,1.0,0.0,0.0,0.08,0.0,0.36,1,0.0,50,packet,50,Netflix
29,20710.31034,19562.19217,16114.0,35094.0,56994.0,16060.0,0.01464,0.02291,0.00189,1.56461,21.0,106.09524,232.97699,54.0,54.0,1148.0,0.0,0.01829,0.02486,0.00332,1.35924,0.9963,0.58,0.0,1.0,0.0,0.0,0.12,0.0,0.34,1,0.0,50,packet,50,Netflix
30,26139.9,21547.39691,19764.0,42029.0,64294.0,19710.0,0.0152,0.0222,0.003,1.46097,20.0,54.0,0.0,54.0,54.0,54.0,0.0,0.02319,0.02753,0.00536,1.18702,0.99862,0.6,0.0,1.0,0.0,0.0,0.06,0.0,0.3,2,0.10054,50,packet,50,Netflix
