fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,udp_ratio,actual_packets_in_flow,agg_mode,agg_value,label
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00211,0.00131,0.00179,0.62328,12.0,16965.66667,12279.89809,15384.0,24874.0,43854.0,15330.0,0.00222,0.00133,0.00199,0.59624,0.00344,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,13418.61538,8644.04518,8814.0,20494.0,29254.0,8760.0,0.00177,0.00149,0.0011,0.84515,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00154,0.0014,0.00099,0.90899,0.9963,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00146,0.00103,0.00122,0.70239,12.0,13802.33333,4233.93008,15384.0,17574.0,17574.0,15330.0,0.00148,0.00103,0.00126,0.69465,0.00422,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,10947.84615,4567.48633,11734.0,14654.0,16114.0,11680.0,0.00136,0.0005,0.00128,0.36547,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00137,0.00054,0.00136,0.39601,0.99547,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,68.53846,2.6491,68.0,69.0,73.0,26.0,0.84176,1.5131,0.24146,1.79754,12.0,72.33333,2.35702,71.0,72.0,77.0,29.0,0.72013,1.50234,0.2341,2.08621,0.50654,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.99663,1.0,25,packet,25,Netflix
12,61.0,5.91608,66.0,66.0,66.0,0.0,0.81484,1.2197,0.30792,1.49686,13.0,6792.46154,10918.71072,1514.0,4434.0,40934.0,1460.0,0.74763,1.18986,0.26912,1.5915,0.00822,0.48,0.0,1.0,0.04,0.04,0.0,0.0,0.6,10,0.98692,0.0,25,packet,25,Netflix
13,137.69231,289.91866,54.0,54.0,1142.0,0.0,0.85728,2.83068,0.00115,3.30195,12.0,13478.41667,10023.27082,11734.0,17574.0,36554.0,11680.0,0.00225,0.00217,0.00111,0.9634,0.01095,0.52,0.0,1.0,0.0,0.0,0.08,0.0,0.44,2,10.24555,0.0,25,packet,25,Netflix
13,9937.07692,7834.21626,8814.0,17574.0,26334.0,8760.0,0.00154,0.0007,0.00127,0.45301,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00168,0.00069,0.00157,0.41462,0.99501,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,10386.30769,5936.39382,8814.0,16114.0,19034.0,8760.0,0.00165,0.001,0.00122,0.60576,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00169,0.00104,0.00124,0.6154,0.99522,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00137,0.00059,0.00124,0.42854,12.0,8692.33333,5944.2603,10274.0,14654.0,14654.0,10220.0,0.00128,0.00051,0.00122,0.39802,0.00669,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,8027.84615,5012.49752,7354.0,14654.0,14654.0,7300.0,0.00123,0.00086,0.00103,0.7058,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00124,0.00077,0.001,0.61872,0.99383,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00143,0.00064,0.00121,0.44796,13.0,9375.53846,5798.8193,10274.0,11734.0,24874.0,10220.0,0.00136,0.00063,0.0011,0.46801,0.00529,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00151,0.00096,0.00123,0.63478,12.0,10882.33333,3289.50309,10274.0,10274.0,19034.0,10220.0,0.00159,0.00096,0.00128,0.60526,0.00535,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,10049.38462,3380.44288,10274.0,10274.0,20494.0,10220.0,0.00163,0.00087,0.00158,0.53574,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00153,0.00086,0.00127,0.56442,0.99506,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00132,0.00066,0.00115,0.49836,13.0,9038.61538,3569.1943,10274.0,10274.0,16114.0,10220.0,0.00118,0.00059,0.00114,0.49818,0.00548,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00122,0.00058,0.00123,0.47796,13.0,8364.76923,3208.14939,10274.0,10274.0,10274.0,10220.0,0.00114,0.00048,0.00116,0.41875,0.00592,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
